term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,exposure,model_n
(Intercept),1.7714546530125595e-27,31.698680190684613,-1.9432353679513479,0.05198772659331523,1.7827039131244084e-54,1.6742270843140292,hospital_mortality,primary_exposure,5694
primary_exposure,2.6971501925550028,0.06639050078791478,14.94484481334496,1.682827426029229e-50,2.3682317029178064,3.0723025921061815,hospital_mortality,primary_exposure,5694
age_at_admission,1.0112139671279234,0.0024082783061484124,4.630509985210844,3.647661910038455e-6,1.0064739117602444,1.0160222868754811,hospital_mortality,primary_exposure,5694
cancer_type_broadgastrointestinal,0.7553367141040578,0.1415274840937805,-1.9825947730439666,0.04741271170320489,0.5723466166584034,0.9970812775987947,hospital_mortality,primary_exposure,5694
cancer_type_broadgenitourinary_male,0.6686713582423641,0.14856465456751136,-2.7090062842335696,0.006748506151074511,0.4994349527330233,0.8944318872712118,hospital_mortality,primary_exposure,5694
cancer_type_broadhematologic,1.1371198344625515,0.12449428165550916,1.0321647132030476,0.30199496242091767,0.8920753368156246,1.4536095499257884,hospital_mortality,primary_exposure,5694
cancer_type_broadother_or_mixed,0.5300955696850891,0.12256349581209587,-5.1785237058203375,2.2364865872339652e-7,0.41738449774977276,0.6750012049448413,hospital_mortality,primary_exposure,5694
cancer_type_broadrespiratory_thoracic,0.6578891749124613,0.12875165111248874,-3.2521430630909007,0.0011453835514667085,0.5115953930025992,0.8476732528365318,hospital_mortality,primary_exposure,5694
cancer_type_broadskin_soft_tissue,0.5272171251067825,0.19594827307586832,-3.266896937347974,0.0010873325702848153,0.3565971556047116,0.7696375297944433,hospital_mortality,primary_exposure,5694
admission_type_categoryed,0.41190848752212106,0.10335073212491339,-8.581981508337483,9.325263377768222e-18,0.33661138078681757,0.5048411789709278,hospital_mortality,primary_exposure,5694
admission_type_categoryfacility,1.0419419884961754,0.17830940423869981,0.23042120929372487,0.8177644818774148,0.7336053952581181,1.4766547192997737,hospital_mortality,primary_exposure,5694
admission_type_categoryosh,0.7420256413028644,0.11688112062765982,-2.5527773672738077,0.010686778169838861,0.5902762944851401,0.9334781583687236,hospital_mortality,primary_exposure,5694
admission_type_categoryother,5.374211259455875e-6,229.46106388210538,-0.052879989885252825,0.9578275278442353,NA,23699419453.12964,hospital_mortality,primary_exposure,5694
icu_year,1.030350509104753,0.015688172258326496,1.905833513424766,0.05667180934098104,0.9991580115479013,1.0625420504225442,hospital_mortality,primary_exposure,5694
(Intercept),16071979126284897e6,31.915025021357796,1.6021094844013584,0.10913140105940276,1.1701435471260877e-5,25678278974197916e33,any_imv,primary_exposure,5694
primary_exposure,10.501542393008245,0.0689620606638726,34.09878008734795,7.689731160164106e-255,9.181478050192982,12.031808573289544,any_imv,primary_exposure,5694
age_at_admission,1.0055700196669026,0.0023976099946874923,2.3167089241373575,0.02051959311624604,1.0008669519327589,1.0103196589422248,any_imv,primary_exposure,5694
cancer_type_broadgastrointestinal,0.9043024470658361,0.1452122593220729,-0.6927198135733358,0.4884854023944342,0.6805031623080139,1.2026087553586555,any_imv,primary_exposure,5694
cancer_type_broadgenitourinary_male,0.9270567219821658,0.15113529034651005,-0.501143884745985,0.6162698636037567,0.6894287140251241,1.2470093009214047,any_imv,primary_exposure,5694
cancer_type_broadhematologic,0.7983110204374726,0.1333119792762046,-1.689698170910451,0.09108571337947126,0.615195229814146,1.0376175309343287,any_imv,primary_exposure,5694
cancer_type_broadother_or_mixed,0.8007686212978324,0.12540147329789028,-1.7717753236803535,0.07643186032589419,0.6269177391064501,1.0251048746307263,any_imv,primary_exposure,5694
cancer_type_broadrespiratory_thoracic,0.8832626576939929,0.13254355934234335,-0.9365423913815912,0.34899399713708623,0.6817784327288947,1.1464640444112226,any_imv,primary_exposure,5694
cancer_type_broadskin_soft_tissue,0.5952090654752556,0.1949995652418362,-2.660737032734256,0.0077969825434085075,0.40472698092741727,0.8696484700752823,any_imv,primary_exposure,5694
admission_type_categoryed,1.2142251402999023,0.11796743060501157,1.6454213484373064,0.09988295002853106,0.9653712352156348,1.5331964217080973,any_imv,primary_exposure,5694
admission_type_categoryfacility,1.8783695732548085,0.20148196477341676,3.1288366331186754,0.0017549985316648907,1.264592267015325,2.786906900944024,any_imv,primary_exposure,5694
admission_type_categoryosh,1.9696089184850432,0.13260004089798982,5.111876285380912,3.189747032408819e-7,1.521144926604076,2.5584680114526646,any_imv,primary_exposure,5694
admission_type_categoryother,2.136750167010596e-5,229.58702815902734,-0.046839054845452824,0.9626415019119219,NA,95899637434.28894,any_imv,primary_exposure,5694
icu_year,0.9741251326086393,0.01579623511533618,-1.6596049942267326,0.09699394298233718,0.9443872744382649,1.0047226318646534,any_imv,primary_exposure,5694
(Intercept),1.3778505627240557e-152,29.5097240442375,-11.849396113946856,2.1674710246329123e-32,8.913004988307784e-178,1.563693943228601e-127,any_vasopressor,primary_exposure,5694
primary_exposure,7.795872148466803,0.0740186711206395,27.74427520498863,2.0428820470367533e-169,6.752423971247473,9.026173865369232,any_vasopressor,primary_exposure,5694
age_at_admission,1.0104292697561124,0.0021881188539955975,4.7416346235032885,2.1200071054315763e-6,1.006113261329501,1.0147818677970475,any_vasopressor,primary_exposure,5694
cancer_type_broadgastrointestinal,1.107759273646018,0.1342761677710224,0.7621553725189689,0.44596727777802114,0.85148210913126,1.4415691037520135,any_vasopressor,primary_exposure,5694
cancer_type_broadgenitourinary_male,0.9910127723279704,0.14093552665166134,-0.06405664084003432,0.9489251264996336,0.7517753057930756,1.3064390969644646,any_vasopressor,primary_exposure,5694
cancer_type_broadhematologic,1.0797052607964186,0.12395428815340918,0.61868046973439506,0.5361268785414458,0.8469010042367229,1.3769543257366919,any_vasopressor,primary_exposure,5694
cancer_type_broadother_or_mixed,0.9468222453869728,0.11658748145595417,-0.468694456702501,0.6392880497856994,0.7534420296612329,1.1901478773122243,any_vasopressor,primary_exposure,5694
cancer_type_broadrespiratory_thoracic,0.5600840783990308,0.12467715310256883,-4.649355171333398,3.329743970587412e-6,0.43855207465944857,0.7150551518132712,any_vasopressor,primary_exposure,5694
cancer_type_broadskin_soft_tissue,1.1911544388925686,0.17222867495156402,1.015643612365752,0.3097991287255448,0.8498691981493681,1.6699831723133798,any_vasopressor,primary_exposure,5694
admission_type_categoryed,1.087878546523863,0.10640939229528677,0.7915608796609167,0.4286167649687982,0.8834423848338803,1.340923196907645,any_vasopressor,primary_exposure,5694
admission_type_categoryfacility,1.3149988358122924,0.19194625101878826,1.426627396274002,0.1536873231217065,0.9035902801506506,1.9186476231330483,any_vasopressor,primary_exposure,5694
admission_type_categoryosh,0.9154116850266728,0.12158430593782478,-0.7269144255230653,0.46727837963138635,0.7214112941285785,1.1620597916008906,any_vasopressor,primary_exposure,5694
admission_type_categoryother,1.344038242753259e-5,139.16354891217827,-0.08060477658501963,0.9357562674032412,NA,41338.028175092935,any_vasopressor,primary_exposure,5694
icu_year,1.1882197536646366,0.014602074618036434,11.810389015087754,3.449615114047978e-32,1.1547788684293645,1.2228149850861607,any_vasopressor,primary_exposure,5694
(Intercept),2.1698352823673335e-58,60.46361845661313,-2.195953327388139,0.028095284181627676,4.088408875007002e-110,4.0789396561949456e-7,any_crrt,primary_exposure,5694
primary_exposure,10.39398155229392,0.13741384358224085,17.037780770185893,4.307699169068679e-65,7.984528289636794,13.693314200503925,any_crrt,primary_exposure,5694
age_at_admission,1.0006111022023232,0.004343708977025324,0.14064375828122333,0.8881513776839693,0.992208905156565,1.0092577551095951,any_crrt,primary_exposure,5694
cancer_type_broadgastrointestinal,0.9815437802653433,0.2712973459490702,-0.0686651051774005,0.9452561946535876,0.5774912938372296,1.6794105527060614,any_crrt,primary_exposure,5694
cancer_type_broadgenitourinary_male,0.9679450371074175,0.2792796607631244,-0.11665716392050107,0.9071317366636025,0.5597127567415384,1.6797002097065408,any_crrt,primary_exposure,5694
cancer_type_broadhematologic,1.6683471501223135,0.2279028739141953,2.245840068033019,0.024714253817882902,1.0804752440349288,2.6474188687312306,any_crrt,primary_exposure,5694
cancer_type_broadother_or_mixed,0.6597518789956957,0.2335312923361624,-1.780881060522352,0.07493188327651983,0.4218249543657753,1.0568674154075965,any_crrt,primary_exposure,5694
cancer_type_broadrespiratory_thoracic,0.4716697666332874,0.26821982952710816,-2.8017174813361945,0.005083136664696473,0.27911938627172733,0.802087393984565,any_crrt,primary_exposure,5694
cancer_type_broadskin_soft_tissue,0.8338299089585437,0.3586827718016231,-0.506647817522173,0.6124019506305769,0.4010203609216009,1.653278024744277,any_crrt,primary_exposure,5694
admission_type_categoryed,0.9810004780387384,0.21393317347061439,-0.0896650660031408,0.9285533773733932,0.6541970144879155,1.5171551207891516,any_crrt,primary_exposure,5694
admission_type_categoryfacility,2.1502148012757503,0.3120206506571732,2.4535803739490696,0.014144192687189486,1.1582746989344153,3.9548878163041175,any_crrt,primary_exposure,5694
admission_type_categoryosh,1.4960502777850255,0.23195115105455427,1.7366953571955799,0.08244095770213755,0.9595016751378483,2.388392462999947,any_crrt,primary_exposure,5694
admission_type_categoryother,4.033555246175037e-5,378.592393611066,-0.02672604482706808,0.9786782397810818,NA,25249089840779897e5,any_crrt,primary_exposure,5694
icu_year,1.0657633885106554,0.02992396078116683,2.1284394661090213,0.033300663886434274,1.0052710470859139,1.1304678870124272,any_crrt,primary_exposure,5694
(Intercept),-183.3365295787414,156.31415127204306,-1.172872245326462,0.24089640790986078,-489.7721775263316,123.09911836884876,hospital_los_days,primary_exposure,5673
primary_exposure,0.8747786421680981,0.34995842646810776,2.499664462995344,0.012459194127277187,0.18872599564323012,1.560831288692966,hospital_los_days,primary_exposure,5673
age_at_admission,-0.045090573581126954,0.011653053660409415,-3.869421260310472,1.1032037825325206e-4,-0.06793502509070859,-0.02224612207154532,hospital_los_days,primary_exposure,5673
cancer_type_broadgastrointestinal,1.4129060311709436,0.7242975793620945,1.9507258776362644,0.05113895466327201,-0.006994830219528625,2.8328068925614156,hospital_los_days,primary_exposure,5673
cancer_type_broadgenitourinary_male,0.28450076273371544,0.7568681249999496,0.37589211823887336,0.7070111902212102,-1.1992508516136822,1.7682523770811132,hospital_los_days,primary_exposure,5673
cancer_type_broadhematologic,4.481901826890782,0.6648417111401707,6.741306617487255,1.7256256712248665e-11,3.1785572552194887,5.785246398562076,hospital_los_days,primary_exposure,5673
cancer_type_broadother_or_mixed,-1.8707953888509072,0.6256985140569561,-2.9899310080199624,0.002802411795544677,-3.097404291593163,-0.6441864861086517,hospital_los_days,primary_exposure,5673
cancer_type_broadrespiratory_thoracic,-1.5292123568771958,0.6618212393863347,-2.3106123917919867,0.020890056130164873,-2.8266356462367987,-0.23178906751759287,hospital_los_days,primary_exposure,5673
cancer_type_broadskin_soft_tissue,-0.9623753374426594,0.9283098029200313,-1.0366962994632543,0.2999217126243292,-2.782218349984907,0.8574676750995887,hospital_los_days,primary_exposure,5673
admission_type_categoryed,-2.630455844026695,0.563323610975828,-4.669528833471117,3.0886600721085542e-6,-3.7347860299298814,-1.5261256581235092,hospital_los_days,primary_exposure,5673
admission_type_categoryfacility,-0.9429640095197943,1.007145573113822,-0.9362737966512671,0.3491721885278012,-2.9173553474963643,1.0314273284567759,hospital_los_days,primary_exposure,5673
admission_type_categoryosh,0.00355318337936096,0.6446667568036324,0.005511659073252432,0.9956025488628707,-1.2602407452175852,1.2673471119763071,hospital_los_days,primary_exposure,5673
admission_type_categoryother,12.484177846955223,8.407717717201711,1.4848474064981163,0.1376399491445158,-3.9981713547317774,28.966527048642224,hospital_los_days,primary_exposure,5673
icu_year,0.09924178825035944,0.07736222280508195,1.2828197620485151,0.19960776659873491,-0.05241781952682244,0.2509013960275413,hospital_los_days,primary_exposure,5673
(Intercept),95.3869744394549,100.81120977306487,0.9461941251789319,0.34408995940533094,-102.24161282666226,293.01556170557205,icu_los_days,primary_exposure,5676
primary_exposure,1.3601967795776504,0.22541689176644242,6.034138652692316,1.6994238170539503e-9,0.9182933249320344,1.8021002342232664,icu_los_days,primary_exposure,5676
age_at_admission,-0.030704849595655854,0.007509020696493076,-4.0890617880432645,4.3912454430942667e-5,-0.04542540651924176,-0.015984292672069945,icu_los_days,primary_exposure,5676
cancer_type_broadgastrointestinal,0.4182664352568103,0.46716266918832655,0.8953336018554925,0.3706468432664751,-0.4975513447598032,1.3340842152734238,icu_los_days,primary_exposure,5676
cancer_type_broadgenitourinary_male,0.3183061896974973,0.4879782903386973,0.6522958008573834,0.5142368479947034,-0.6383181812753693,1.2749305606703638,icu_los_days,primary_exposure,5676
cancer_type_broadhematologic,1.0355301230227796,0.4285306888611401,2.4164666614071364,0.015703385619084465,0.19544582257198884,1.8756144234735703,icu_los_days,primary_exposure,5676
cancer_type_broadother_or_mixed,-1.1319840053898982,0.40346024538757785,-2.8056890817147924,0.005038049444152398,-1.9229206333053779,-0.3410473774744186,icu_los_days,primary_exposure,5676
cancer_type_broadrespiratory_thoracic,-0.36579057421781586,0.42653077798557726,-0.8575947929135954,0.39115254968954716,-1.2019542832791634,0.47037313484353166,icu_los_days,primary_exposure,5676
cancer_type_broadskin_soft_tissue,-1.0010126627753297,0.598546402212142,-1.6724061143392226,0.09449951726440986,-2.1743928865488957,0.17236756099823625,icu_los_days,primary_exposure,5676
admission_type_categoryed,-1.3790849414371766,0.36252371471093486,-3.804123386898471,1.438063609843164e-4,-2.0897702883352687,-0.6683995945390845,icu_los_days,primary_exposure,5676
admission_type_categoryfacility,-0.6245110839997466,0.650254682782275,-0.9604099755616091,0.3368899299966148,-1.8992593447410209,0.6502371767415275,icu_los_days,primary_exposure,5676
admission_type_categoryosh,0.6793830571986208,0.41503667952315354,1.636922929267798,0.10170214827802926,-0.1342478160189755,1.493013930416217,icu_los_days,primary_exposure,5676
admission_type_categoryother,9.059139986558773,5.420958842030711,1.671132404902227,0.09475079156002111,-1.5680158623787666,19.68629583549631,icu_los_days,primary_exposure,5676
icu_year,-0.04335603123038597,0.049893022847625555,-0.8689798443921967,0.3848949882909811,-0.14116546772072014,0.05445340525994819,icu_los_days,primary_exposure,5676
