note_domain,concept_group,concept_name,pattern
all,ici_agent,pembrolizumab,"\\bkeytruda\\b|\\bpembrolizumab\\b"
all,ici_agent,nivolumab,"\\bopdivo\\b|\\bnivolumab\\b"
all,ici_agent,atezolizumab,"\\btecentriq\\b|\\batezolizumab\\b"
all,ici_agent,durvalumab,"\\bimfinzi\\b|\\bdurvalumab\\b"
all,ici_agent,ipilimumab,"\\byervoy\\b|\\bipilimumab\\b"
all,ici_agent,cemiplimab,"\\blibtayo\\b|\\bcemiplimab\\b"
all,ici_agent,avelumab,"\\bbavencio\\b|\\bavelumab\\b"
all,ici_agent,tremelimumab,"\\btremelimumab\\b|\\bimjudo\\b"
all,ici_agent,dostarlimab,"\\bdostarlimab\\b|\\bjemperli\\b"
all,ici_general,checkpoint_inhibitor,"checkpoint inhibitor|immune checkpoint inhibitor|ici\\b|pd-1 inhibitor|pd-l1 inhibitor|ctla-4 inhibitor"
all,ici_general,immunotherapy,"\\bimmunotherapy\\b"
all,ici_general,recent_treatment,"last dose|last infusion|cycle\\s*\\d+|received .* immunotherapy|on .* pembrolizumab|on .* nivolumab"
all,irae_general,irae_term,"immune related adverse event|immune-related adverse event|irae\\b|immune toxicity|immunotherapy toxicity|checkpoint toxicity"
all,irae_general,suspected_irae,"suspect(ed)? .* irae|concern for .* irae|possible .* irae|favou?rs? .* irae|immune mediated toxicity|treatment related toxicity"
all,irae_pneumonitis,pneumonitis,"\\bpneumonitis\\b|immune mediated pneumonitis|checkpoint pneumonitis|organizing pneumonia from immunotherapy"
all,irae_myocarditis,myocarditis,"\\bmyocarditis\\b|immune mediated myocarditis|checkpoint myocarditis"
all,irae_hepatitis,hepatitis,"immune mediated hepatitis|checkpoint hepatitis|\\bhepatitis\\b due to immunotherapy"
all,irae_colitis,colitis,"immune mediated colitis|checkpoint colitis|\\bcolitis\\b due to immunotherapy"
all,irae_nephritis,nephritis,"immune mediated nephritis|checkpoint nephritis|\\bnephritis\\b due to immunotherapy"
all,irae_endocrine,endocrine,"hypophysitis|adrenalitis|thyroiditis|immune mediated endocrinopathy|endocrine irae"
all,irae_neuro,neurologic,"encephalitis|myasthenia|myositis|guillain|neurologic irae|immune mediated neurologic"
all,irae_hlh,hlh,"\\bhlh\\b|hemophagocytic|cytokine storm|hyperinflammatory syndrome"
all,competing_infection,infection,"\\binfection\\b|infectious|\\bpneumonia\\b|sepsis|bacteremia|fungal|viral|aspiration pneumonia"
all,competing_progression,progression,"disease progression|tumor progression|malignant progression|lymphangitic carcinomatosis|progression of cancer"
all,competing_edema,edema,"pulmonary edema|cardiogenic edema|volume overload|heart failure exacerbation|flash edema"
all,competing_aspiration,aspiration,"aspiration|aspiration pneumonitis|aspiration event"
all,treatment_steroid,steroids,"methylprednisolone|solumedrol|prednisone|prednisolone|dexamethasone|hydrocortisone|high dose steroids|pulse steroids"
all,treatment_rescue,rescue_immunosuppression,"infliximab|mycophenolate|tocilizumab|abatacept|rituximab|cyclophosphamide|ivig|immune globulin|plasmapheresis"
all,qualifier_favoring,favoring,"favou?rs?|consistent with|compatible with|most likely|likely due to|high suspicion for"
all,qualifier_uncertainty,uncertainty,"possible|possibly|concern for|cannot exclude|unclear|versus|v\\.?s\\.?|differential includes"
radiology,radiology_supportive_pneumonitis,ground_glass,"ground\\s*-?glass|ggo\\b|bilateral ground glass"
radiology,radiology_supportive_pneumonitis,organizing_pneumonia,"organizing pneumonia|cryptogenic organizing pneumonia|cop pattern"
radiology,radiology_supportive_pneumonitis,interstitial_pattern,"diffuse interstitial|interstitial opacities|reticular opacities|multifocal opacities"
radiology,radiology_supportive_pneumonitis,airspace_pattern,"multifocal consolidat|patchy consolidat|bilateral infiltrat|new infiltrat"
radiology,radiology_infection,infection_pattern,"infectious process|multifocal pneumonia|lobar pneumonia|bronchopneumonia|tree-in-bud"
radiology,radiology_edema,edema_pattern,"pulmonary edema|interstitial edema|vascular congestion|pleural effusions? with edema"
radiology,radiology_progression,progression_pattern,"lymphangitic|progression of metastatic disease|worsening metastatic|tumor burden|masslike"
